key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,9.1036,space,65.3049,space,56.0245,space,28.7672,space,8.1265,space,5.8219,space,7.8834,2,FF,6,1,20.8171,-119,49,1,0,0,response7disk_5,-9,7,1,0,0,rectangle_8,-9,7,1,0,0,1,-9,7,1,0,0,0,0,0,5,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,2,7,2.5172,69,123,1,0,0,response1disk_5,-5,-1,1,0,0,rectangle_8,-5,-1,1,0,0,1,-5,-1,1,0,0,0,1,1,0,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,3,3,5.4331,-53,-167,1,0,0,response5disk_5,-1,-3,1,0,0,rectangle_8,-112,39,1,0,0,1,-13,7,1,0,0,0,2,2,4,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,response7disk_7,1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,2,5,3.7338,129,-77,1,0,0,response3disk_5,-1,2,1,0,0,rectangle_8,50,82,1,0,0,1,25,-13,1,0,0,0,3,3,1,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,response1disk_7,7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,3,4,6.433,45,-121,1,0,0,response3disk_5,0,-4,1,0,0,rectangle_8,0,-4,1,0,0,1,0,-4,1,0,0,0,4,4,2,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,1,5,5.6331,119,-74,1,0,0,response3disk_5,-9,-7,1,0,0,rectangle_8,-9,-7,1,0,0,1,-9,-7,1,0,0,0,5,5,3,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,3,1,18.0836,-131,61,1,0,0,response7disk_5,2,-9,1,0,0,rectangle_8,2,-9,1,0,0,1,2,-9,1,0,0,0,6,6,6,1,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,2,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,space,4.7897,-127,-80,1,0,0,response5disk,3,1,0,-8,1,0,0,rectangle,0,-8,1,0,0,,5,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",0,-8,1,0,0,0,0,0,34,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,3,1.6668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,-71,-131,1,0,0,response5disk,7,2,-2,4,1,0,0,rectangle,-2,4,1,0,0,,7,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-2,4,1,0,0,0,1,1,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,0,2.6014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,-66,104,1,0,0,response7disk,2,3,-10,-12,1,0,0,rectangle,-10,-12,1,0,0,,0,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-10,-12,1,0,0,0,2,2,11,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,7,1.7005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,64,112,1,0,0,response1disk,6,4,8,-4,1,0,0,rectangle,8,-4,1,0,0,,5,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",8,-4,1,0,0,0,3,3,46,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,4,3.1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,34,-113,1,0,0,response3disk,2,5,10,8,1,0,0,rectangle,10,8,1,0,0,,5,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",10,8,1,0,0,0,4,4,33,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,0,2.5503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,-45,129,1,0,0,response7disk,6,6,0,-13,1,0,0,rectangle,0,-13,1,0,0,,5,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",0,-13,1,0,0,0,5,5,25,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,7,1.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,52,112,1,0,0,response1disk,4,7,8,-3,1,0,0,rectangle,8,-3,1,0,0,,4,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",8,-3,1,0,0,0,6,6,37,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,6,2.8001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,131,71,1,0,0,response1disk,2,8,-15,3,1,0,0,rectangle,-15,3,1,0,0,,5,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-15,3,1,0,0,0,7,7,12,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,3,2.3161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,-82,-120,1,0,0,response5disk,6,9,-8,18,1,0,0,rectangle,-8,18,1,0,0,,4,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-8,18,1,0,0,0,8,8,20,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,7,1.2996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,58,119,1,0,0,response1disk,7,10,-1,6,1,0,0,rectangle,-1,6,1,0,0,,0,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-1,6,1,0,0,0,9,9,29,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,1,2.7831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,-115,46,1,0,0,response7disk,6,11,16,-8,1,0,0,rectangle,16,-8,1,0,0,,6,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",16,-8,1,0,0,0,10,10,30,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,7,0.9665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,66,113,1,0,0,response1disk,2,12,19,6,1,0,0,rectangle,19,6,1,0,0,,6,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",19,6,1,0,0,0,11,11,44,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,4,1.6165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,71,-148,1,0,0,response3disk,4,13,8,2,1,0,0,rectangle,8,2,1,0,0,,1,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",8,2,1,0,0,0,12,12,38,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,7,1.2168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,74,134,1,0,0,response1disk,5,14,7,-10,1,0,0,rectangle,7,-10,1,0,0,,4,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",7,-10,1,0,0,0,13,13,22,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,5,4.8164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,139,-94,1,0,0,response3disk,1,15,-4,5,1,0,0,rectangle,-4,5,1,0,0,,7,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-4,5,1,0,0,0,14,14,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,7,0.8665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,58,127,1,0,0,response1disk,3,16,15,5,1,0,0,rectangle,15,5,1,0,0,,0,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",15,5,1,0,0,0,15,15,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,7,1.0999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,65,113,1,0,0,response1disk,7,17,3,-9,1,0,0,rectangle,3,-9,1,0,0,,2,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",3,-9,1,0,0,0,16,16,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,5,2.0332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,119,-68,1,0,0,response3disk,1,18,-10,-3,1,0,0,rectangle,-10,-3,1,0,0,,0,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-10,-3,1,0,0,0,17,17,42,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,73,-90,1,0,0,response3disk,4,19,0,18,1,0,0,rectangle,0,18,1,0,0,,1,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",0,18,1,0,0,0,18,18,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,5,1.8517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,136,-36,1,0,0,response3disk,2,20,26,8,1,0,0,rectangle,26,8,1,0,0,,5,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",26,8,1,0,0,0,19,19,28,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,2,3.1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,-118,-95,1,0,0,response5disk,2,21,4,-19,1,0,0,rectangle,4,-19,1,0,0,,2,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",4,-19,1,0,0,0,20,20,31,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,3,1.6826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,-51,-112,1,0,0,response5disk,3,22,-1,-2,1,0,0,rectangle,-1,-2,1,0,0,,5,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-1,-2,1,0,0,0,21,21,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,1,1.4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,-113,42,1,0,0,response7disk,5,23,15,-5,1,0,0,rectangle,15,-5,1,0,0,,5,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",15,-5,1,0,0,0,22,22,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,6,1.8336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,109,58,1,0,0,response1disk,2,24,15,-1,1,0,0,rectangle,15,-1,1,0,0,,3,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",15,-1,1,0,0,0,23,23,35,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,5,1.4838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,121,-43,1,0,0,response3disk,3,25,-15,-7,1,0,0,rectangle,-15,-7,1,0,0,,6,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",-15,-7,1,0,0,0,24,24,41,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,5,1.4169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,94,-45,1,0,0,response3disk,1,26,4,2,1,0,0,rectangle,4,2,1,0,0,,1,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",4,2,1,0,0,0,25,25,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,6,2.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc5e4e6299d6d2b82e580e,60cc8fec9384c2530a99b2ed,2021-06-18_13h22.28.179,FlowerSimilarity_Experiment,2021.1.2,Win32,61.50439756,60cc862d586bafd4cd2fa98a,,,,,,111,48,1,0,0,response1disk,5,27,6,3,1,0,0,rectangle,6,3,1,0,0,,5,"[315,187,119,110,224,61,120,269,304,96,247,187,187,88,70,49,154,40,220,209]",6,3,1,0,0,0,26,26,19,1,,,,,,,,,,,,,,,,,,,,,,,
