key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
,,,,,,,,,,,,,,6,FF,,3,1.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-46,-122,1,0,0,response5disk,7,27,-25,-5,1,0,0,rectangle,-25,-5,1,0,0,6,3,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-25,-5,1,0,0,0,26,26,32,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,3,1.2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-30,-83,1,0,0,response5disk,3,28,13,3,1,0,0,rectangle,13,3,1,0,0,6,5,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",13,3,1,0,0,0,27,27,24,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,3,1.2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-85,-94,1,0,0,response5disk,6,29,12,-1,1,0,0,rectangle,12,-1,1,0,0,6,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",12,-1,1,0,0,0,28,28,20,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,2,1.6608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-81,-54,1,0,0,response5disk,2,30,13,8,1,0,0,rectangle,13,8,1,0,0,6,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",13,8,1,0,0,0,29,29,31,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,5,1.8041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,97,-74,1,0,0,response3disk,4,31,2,10,1,0,0,rectangle,2,10,1,0,0,6,3,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",2,10,1,0,0,0,30,30,27,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,5,1.5255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,94,-54,1,0,0,response3disk,1,32,-37,-6,1,0,0,rectangle,-37,-6,1,0,0,6,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-37,-6,1,0,0,0,31,31,39,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,3,1.5471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-36,-123,1,0,0,response5disk,1,33,-7,17,1,0,0,rectangle,-7,17,1,0,0,6,3,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-7,17,1,0,0,0,32,32,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,6,1.7682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,68,65,1,0,0,response1disk,2,34,-29,-10,1,0,0,rectangle,-29,-10,1,0,0,6,3,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-29,-10,1,0,0,0,33,33,44,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,2,1.6869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-84,-39,1,0,0,response5disk,1,35,18,9,1,0,0,rectangle,18,9,1,0,0,6,2,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",18,9,1,0,0,0,34,34,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,6,1.5161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,77,44,1,0,0,response1disk,5,36,19,11,1,0,0,rectangle,32,83,1,0,0,7,7,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-15,5,1,0,0,0,35,35,22,1,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,1,2.0629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-124,61,1,0,0,response7disk,6,37,-11,12,1,0,0,rectangle,-11,12,1,0,0,7,3,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-11,12,1,0,0,0,36,36,25,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,2,0.9945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-93,-49,1,0,0,response5disk,3,38,6,-7,1,0,0,rectangle,6,-7,1,0,0,7,0,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",6,-7,1,0,0,0,37,37,36,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,3,6.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-71,-113,1,0,0,response5disk,6,39,-11,4,1,0,0,rectangle,-11,4,1,0,0,7,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-11,4,1,0,0,0,38,38,21,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,4,1.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,62,-112,1,0,0,response3disk,4,40,17,-2,1,0,0,rectangle,17,-2,1,0,0,7,3,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",17,-2,1,0,0,0,39,39,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,5,1.2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,78,-31,1,0,0,response3disk,7,41,15,-7,1,0,0,rectangle,15,-7,1,0,0,7,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",15,-7,1,0,0,0,40,40,16,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,4,1.5657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,54,-105,1,0,0,response3disk,1,42,19,7,1,0,0,rectangle,19,7,1,0,0,7,5,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",19,7,1,0,0,0,41,41,42,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,3,3.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-22,-117,1,0,0,response5disk,5,43,23,10,1,0,0,rectangle,23,10,1,0,0,7,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",23,10,1,0,0,0,42,42,40,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,5,3.5909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,84,-49,1,0,0,response3disk,1,44,-19,7,1,0,0,rectangle,-19,7,1,0,0,7,7,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-19,7,1,0,0,0,43,43,45,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,6,2.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,124,88,1,0,0,response1disk,7,45,17,16,1,0,0,rectangle,17,16,1,0,0,7,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",17,16,1,0,0,0,44,44,29,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,6,1.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,78,51,1,0,0,response1disk,2,46,22,17,1,0,0,rectangle,22,17,1,0,0,6,3,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",22,17,1,0,0,0,45,45,33,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,2,1.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-82,-52,1,0,0,response5disk,3,47,5,-2,1,0,0,rectangle,5,-2,1,0,0,6,5,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",5,-2,1,0,0,0,46,46,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,3,0.9089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-41,-88,1,0,0,response5disk,7,48,-11,7,1,0,0,rectangle,-11,7,1,0,0,6,2,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-11,7,1,0,0,0,47,47,15,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,5,1.3246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,78,-38,1,0,0,response3disk,5,49,24,1,1,0,0,rectangle,24,1,1,0,0,6,0,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",24,1,1,0,0,0,48,48,14,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,4,1.0756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,61,-81,1,0,0,response3disk,5,50,14,17,1,0,0,rectangle,14,17,1,0,0,6,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",14,17,1,0,0,0,0,0,18,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,6,1.1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,78,53,1,0,0,response1disk,3,51,36,13,1,0,0,rectangle,36,13,1,0,0,6,2,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",36,13,1,0,0,0,1,1,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,2,3.3914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-28,-19,1,0,0,response5disk,2,52,-3,4,1,0,0,rectangle,-3,4,1,0,0,6,7,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-3,4,1,0,0,0,2,2,11,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,6,2.1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,89,63,1,0,0,response1disk,4,53,33,13,1,0,0,rectangle,33,13,1,0,0,6,6,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",33,13,1,0,0,0,3,3,23,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,2,2.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-83,-49,1,0,0,response5disk,5,54,21,10,1,0,0,rectangle,21,10,1,0,0,6,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",21,10,1,0,0,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,6,2.1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,32,22,1,0,0,response1disk,7,55,24,-4,1,0,0,rectangle,24,-4,1,0,0,6,7,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",24,-4,1,0,0,0,5,5,43,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,5,3.7197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,21,-17,1,0,0,response3disk,5,56,8,-11,1,0,0,rectangle,8,-11,1,0,0,6,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",8,-11,1,0,0,0,6,6,47,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,4,7.1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,104,-115,1,0,0,response3disk,4,57,28,3,1,0,0,rectangle,28,3,1,0,0,6,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",28,3,1,0,0,0,7,7,38,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,6,1.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,83,45,1,0,0,response1disk,6,58,8,-6,1,0,0,rectangle,8,-6,1,0,0,6,7,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",8,-6,1,0,0,0,8,8,13,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,3,1.8929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-24,-111,1,0,0,response5disk,1,59,10,-6,1,0,0,rectangle,-78,41,1,0,0,1,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",12,-7,1,0,0,0,9,9,0,1,response7disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,4,1.1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,62,-113,1,0,0,response3disk,6,60,14,-1,1,0,0,rectangle,14,-1,1,0,0,1,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",14,-1,1,0,0,0,10,10,30,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,6,1.3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,85,38,1,0,0,response1disk,6,61,34,16,1,0,0,rectangle,34,16,1,0,0,1,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",34,16,1,0,0,0,11,11,46,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,5,1.4582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,95,-42,1,0,0,response3disk,2,62,22,7,1,0,0,rectangle,22,7,1,0,0,1,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",22,7,1,0,0,0,12,12,28,1,,,,,,,,,,,,,,,,,,,,,,,
